	Profitability LTM	Profitability year-1	Profitability year-2	Profitability year-3	Profitability year-4	Profitability yea-5	Profitability MRQ	Free Cash Flow LTM	Free Cash Flow y-1	Free Cash Flow y-2	Free Cash Flow Y-3	Cash flow LTM	Cash flow MRQ	Growth 3yr CAGR	Market Cap	Debt	Debt-to-equity	Cash (includes ST investments)	ROE LTM	ROE y-1	ROE y-2	ROE y-3	ROE y-4	ROE y-5	BETA LTM	STOCK PRICE	Earnings per share	price per earnings
AAPL	50737	38555	37748	40133	23607	12237	10677	51858.25	37431	30996.5	27501.375	81041	14988	14.6624	647201.9198	54418	43.2998	34863	41.1463	31.5644	32.1122	44.324	41.9851	35.47	1.23633	113.49	7.34874	15.44346378
AB	195.61	166.008	81.554	-124.422	134.332	201.219	48.224	0	0	0	0	189.052	39.46	NM	2809.88076	0	0	0	12.4313	10.5334	4.9859	-7.2427	7.5972	11.8082	1.43827	28.15	1.37003	20.54699532
ACAS	229	99	686	947	1374	652	62	487.75	324.1	292.3	243.6	170	84	0.3861	3816.84686	2136	39.1495	274	4.2561	1.8191	12.6346	19.2852	35.9027	26.0643	0.66853	14.1228	0.63199	22.34655612
ACAT	0.295	37.505	43.205	34.271	15.163	3.344	-1.056	-27.89125	8.67275	35.734	-12.0595	8.488	-44.121	3.5132	383.81484	30.877	17.2015	20.278	0.1619	20.4245	26.7613	21.3576	8.8231	2.0641	0.36091	29.7	-0.11894	-249.705734
ACN	3016.969	2911.482	3189.16	2587.161	2111.226	1589.866	793.697	3860.52463	2383.58575	2796.07975	3143.55088	4236.763	1413.364	3.7349	64766.45118	27.218	0.4209	4028.572	51.474	52.5808	66.6146	65.5287	62.338	52.5162	1.0363	103.83	3.77292	27.51979899
ACOM	-12.818	-12.561	-13.564	2.181	4.598	-4.565	-1.464	5.34238	-5.061	-7.24563	-1.41125	-9.15	0	-14.8746	0	5.754	22.8732	24.295	-56.0723	-19.2643	-21.6951	3.7871	7.3234	-6.5432	0	0	-2.47846	0
ACTV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.627	0	0	0	0	0	0	0	0	0	0	6350	0	#DIV/0!
ADBE	365.203	283.895	565.353	777.905	962.942	379.767	147.493	1136.28913	1057.919	924.3035	1214.40963	1322.772	471.484	0.1155	41712.6039	1904.376	28.81	3413.248	5.5137	4.1859	8.6797	13.5416	18.2234	7.6107	0.79543	84.74	0.6701	126.4587375
ADC	27.08136	18.04976	18.17682	10.85423	9.44225	22.65125	10.2636	32.81017	25.5376	23.30553	15.84427	39.64212	12.1994	23.639	543.57984	320.58819	86.4989	2.8706	8.408	6.9297	7.2427	7.8347	3.7135	10.0399	0.31738	30.59	0.91671	33.36933163
ADP	1452.5	1515.9	1405.8	1388.5	1254.2	1211.4	336.2	5385.8	-2869.675	1574.7	1300.2125	1905.6	441.4	1.0679	37986.8055	9.2	0.1913	1665.9	23.9835	19.3248	18.2413	22.6848	21.6723	22.3543	1.24388	82.65	2.69769	30.63732304
ADVS	44.374	27.653	35.156	27.736	29.686	34.849	5.048	96.75763	102.28838	72.97725	67.06438	100.561	6.464	6.081	0	205	NM	27.786	NM	23.4707	11.2974	9.478	10.3103	8.9403	0	0	0.97965	0
AEO	105.511	58.873	220.387	163.077	158.05	157.977	29.055	127.58425	-18.015	348.2425	240.48875	331.002	-12.731	1.1299	3445.27223	0	0	326.907	9.9344	4.9971	18.5265	13.2141	12.388	14.9793	0.15652	18.07	0.81863	22.0734642
AFAM	17.932	7.69	13.574	19.628	25.582	28.76	5.01	8.80013	15.7985	11.30538	12.33763	13.781	8.844	13.22	474.6006	47.485	19.5453	6.498	7.4162	3.6521	6.4777	9.4495	14.1283	20.9482	0.48619	49.63	2.12607	23.34353996
AFCE	40.5	35.6	31.7	25.3	24.3	19.6	13.6	-12.9125	19.3125	-3.1	26.225	51.6	9.2	15.309	0	109.8	156.1877	6.3	61.3636	69.7355	104.2763	163.2258	NM	NM	0	0	1.7759	0
AFFX	18.943	-6.169	-51.671	-5.096	1.295	-21.185	7.006	31.13363	50.71563	67.2195	-32.237	46.985	9.794	11.1764	783.8324	125.95	37.5453	119.597	6.2692	-2.3427	-18.3284	-1.6951	0.4475	-7.3386	1.18158	9.81	0.1356	72.34513274
AFL	2645	2919	3379	2542	1790	1832	573	-363.625	2854.75	12460.625	4151.5	6521	1643	-3.6993	27611.79234	6448	37.8892	3103	15.2996	18.6792	24.2439	19.4342	16.2645	22.3687	0.74185	64.4068	5.67783	11.34355907
AGFS	-0.94026	0	0	0	0	0	-0.30529	0	0	0	0	-0.45416	-0.2053	0	302.09048	0	0	0.52699	0	0	0	0	0	0	0.04383	10.9	-0.08789	-124.0186597
AHS	46.473	31.794	28.903	-25.139	-49.839	-3.8	15.87	24.425	35.74988	43.43188	28.88088	54.324	25	10.191	1634.90581	226.125	78.5052	14.474	17.8178	14.7354	15.8888	3.4474	-28.472	-2.194	0.8205	35.3964	1.11507	31.74365735
AIBYY	1344	-428	-3261	-5605	-6227	-3350	420	0	0	0	0	5139	806.5	NM	0	28212	0	8206	11.413	-4.2332	-27.331	-55.5003	-94.016	-34.7995	0	0	0.0019	0
AIG	7115	8830	2835	23029	11792	-9291	1800	-57174.625	36407.5	34857.875	77583.25	3859	105	2.0764	81851.28656	30360	29.0132	15802	6.7159	8.4858	2.9939	22.8403	10.006	-7.1837	1.01725	63.485	5.19145	12.22876075
AINV	17.176	316.704	134.917	-97.962	264.778	94.505	6.39	130.131	51.01625	277.95488	124.5855	372.725	176.432	8.0188	1614.57362	1390.89	73.334	12.908	0.8662	16.2327	7.674	-5.451	14.1059	5.751	0.68986	6.835	0.6565	10.4112719
AIRM	94.643	88.558	62.725	74.829	46.274	25.387	26.823	9.9785	-3.76788	6.54575	25.1575	210.413	73.783	9.0919	1567.91606	664.206	127.1103	28.861	20.8721	24.3783	19.1657	25.3038	19.9721	13.0742	0.57766	39.9	2.53538	15.73728593
AIZ	272.885	518.459	402.578	565.619	263.046	478.569	32.789	-810.72363	1366.3525	728.33663	575.74	300.944	346.562	8.0642	5273.7859	1266.518	26.2329	1740.047	5.3624	10.2203	8.1912	11.4156	5.3064	10.1793	0.81286	79.96	3.85152	20.76063476
AJG	306.3	292.9	229.2	187	157.8	131.6	139.3	181.4	402.1875	251.4	217.875	261.2	-31.6	29.6994	8233.28765	2371.6	63.8986	321.7	8.9612	12.3636	14.4382	13.9776	13.7533	14.6354	0.79258	46.9951	1.33145	35.29618086
AKAM	333.208	305.791	249.905	189.832	190.757	151.826	67.2	322.67013	276.626	262.29575	280.55388	732.575	264.023	18.7079	13201.7424	614.484	20.178	643.503	11.4542	11.7147	10.7197	8.5453	9.0806	8.3101	1.4714	74.1592	1.64205	45.16257118
ALDN	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	#VALUE!
ALG	41.787	33.79	31.511	34.235	26.835	22.961	9.71	49.127	-31.08113	28.82863	28.204	36.576	4.149	12.1775	579.43806	203.542	58.5063	34.522	11.6419	9.761	10.2517	12.109	10.6233	10.785	0.79704	50.4	3.5923	14.03000863
ALGN	145.315	145.002	-3.448	89.189	53.723	9.083	31.35	147.98088	146.10025	103.81063	56.226	237.761	62.94	14.1137	4871.14474	0	0	438.542	20.1044	24.2479	-0.6232	17.5555	14.0684	3.1773	1.56343	60.57	1.44594	41.88970497
ALGT	138.174	102.301	89.403	67.182	54.642	64.479	54.339	56.82875	-6.62	58.83513	44.6825	353.318	67.785	11.8255	3837.72416	627.616	192.4134	380.368	39.1993	25.1016	21.3208	18.3726	17.1096	22.108	0.81448	231.49	9.98206	23.19060394
ALNY	-187.938	-357.06	-108.872	-51.864	-46.669	-43.954	-71.783	0	-67.12363	-29.22638	-57.16825	0	0	-9.0585	9166.56	0	0	1396.8	-15.9887	-57.1093	-43.8591	-31.9322	-30.9036	-25.1194	1.00245	107.235	-1.65719	-64.708935
ALV	427.1	436.7	518.4	523.8	644.1	367.1	136.7	246.75	360.8125	289.4375	424.2875	679.6	153.7	2.7159	9089.41575	1599.8	47.8838	1323.3	11.7291	11.2036	13.958	15.3879	22.0355	15.079	0.71618	104.6937	4.88037	21.45200057
ALVR	-56.057	-26.236	-100.66	-11.253	-5.71	12.563	-7.014	5.2705	11.98325	0	-32.222	-19.179	-4.184	-42.8187	0	6.669	23.1546	3.548	-41.8148	-27.5062	-62.5819	-5.2853	-2.6248	3.6211	0	0	-2.21292	0
AMBA	64.165	26.173	20.327	10.404	-2.952	0	18.854	44.33788	29.85463	7.39825	0	66.781	24.793	34.738	3449.07705	0	0	235.228	29.6302	18.2325	22.5121	0	0	0	1.28884	110.7	1.26914	87.22441969
AMCX	334.704	223.512	249.087	154.172	101.538	-47.442	83.009	1027.68788	712.47063	622.19513	664.15988	388.316	110.046	23.397	5359.88341	2756.383	6905.2859	241.06	NM	NM	NM	NM	0	0	1.17707	75.36	4.6949	16.05146009
AMED	-6.798	-105.495	-92.371	-406.106	80.676	142.581	10.637	43.5875	53.27588	36.3235	43.44725	86.974	42.554	-5.9851	1534.83294	95.517	25.1327	33.201	-1.6059	-24.9229	-21.0348	-54.283	10.7389	19.4864	0.76207	45.65	1.3538	33.71989954
AMG	532.6	409.6	257.1	124.4	180.4	85.069	128.7	0	0	453.35	410.95	1236.8	351.4	15.4997	11037.57426	1864.3	42.5532	750	20.0515	19.0586	15.2679	10.4266	13.6871	12.1705	1.34987	204.2	5.74389	35.55082009
AMRC	13.748	0.557	8.10072	25.84693	33.86121	26.75411	1.991	24.42075	48.08155	-51.65022	-31.31353	-43.275	-14.669	-5.2759	303.29666	192.021	67.3037	19.319	4.9351	0.2086	3.1732	11.0482	20.5151	0	1.09162	6.55	0.13938	46.99382982
AMT	737.353	717.035	638.996	458.924	384.006	327.688	156.056	-3180.30475	1632.81163	1149.41075	1551.534	2098.667	526.53	17.4455	42315.20303	16224.692	220.0507	274.702	12.5775	16.246	16.7473	11.8757	10.8803	10.0629	0.4873	100.8232	1.42323	70.84111493
AMTD	808	777	618	605.898	588.061	634.969	197	0	0	0	0	1016	581	5.946	19701.16475	1810	36.2507	7107	16.6752	16.8018	13.901	14.2305	14.6887	17.6148	1.11915	36.33	1.43476	25.32130809
AMZN	-188	181	-101	377	1038	1088	92	5598.75	2464.375	738.25	1394.125	8980	1997	20.8179	245973.3661	17953	152.5577	14001	-1.6808	1.8722	-1.2439	4.9377	15.24	23.8779	0.54787	533.88	0.20027	2665.801168
ANET	101.391	59.545	21.349	0	0	0	23.996	91.978	0	10.139	0	141.302	52.606	0	5417.59875	41.912	6.2974	551.763	17.9974	0	398.4509	0	0	0	0.68323	81.65	1.18643	68.81990509
ANIP	35.691	5.62	-5.85511	0	0	0	3.571	-26.04238	-9.23053	0	0	17.226	1.206	0	643.5462	113.672	76.0347	166.731	29.6074	8.5372	0	0	0	0	1.80629	57.37	1.60857	35.66521818
ANTM	2861.9	2236.5	2840.7	2518.6	2916.1	5071.2	859.1	4147.425	1607.5875	2172.65	2979.525	3734.3	1173	7.5747	39099.40889	18351.5	79.5725	21518.3	12.0654	9.7535	11.7173	10.5325	12.1575	22.0279	0.97962	149.68	11.55993	12.94817529
AOB	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	#VALUE!
AOBID	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	#VALUE!
AON	1274	1240	1011	959	879	649	178	2248.5	1024.5625	1874.125	1097.625	1674	229	1.3841	28348.75289	6061	93.8816	734	18.4453	16.5571	13.1412	11.898	13.0101	11.5444	0.98856	101.4541	3.72981	27.20087618
AP	-2.834	12.404	6.079	8.01768	14.67048	30.15007	-0.52	0	1.35675	15.74781	6.76603	0	0	-4.5021	137.4948	13.311	6.4246	93.999	0	5.7463	3.1429	3.9088	7.2027	16.8004	0.79987	12.76	0.05065	251.9249753
APD	1037.4	1024.8	995.8	1353.4	1171.5	1000.9	318.8	392.6375	340.55	124.6875	422.7875	2260.3	690.7	2.0948	31254.14873	5864	73.2158	247.4	12.897	14.0412	14.9198	18.3731	19.075	19.5234	0.86741	145.9701	5.37536	27.15540913
APEI	36.505	40.146	46.125	42.248	32.028	28.064	7.073	33.32238	26.896	36.87663	25.34975	61.536	15.585	5.463	362.14068	0	0	103.724	16.3312	19.8896	27.3455	32.6776	30.4531	33.6128	0.68521	21.96	2.14666	10.22984543
APOG	56.54	29.929	21.664	8.428	-9.03	20.743	12.126	42.10575	-7.75775	26.66825	33.08663	88.222	20.855	13.2357	1550.27902	21.764	5.5676	63.483	15.1266	8.6447	6.5978	2.632	-3.8905	6.1403	1.16171	53.68	1.57507	34.08102497
