	IQ_CITY	IQ_STATE	IQ_COUNTRY_NAME	IQ_COMPANY_NAME	IQ_CEO_NAME	IQ_EST_NEXT_EARNINGS_DATE
AAPL	Cupertino	CA	United States	Apple Inc.	"Cook, Timothy"	2015-10-20
ACN	Dublin	0	Ireland	Accenture plc	"Nanterme, Pierre"	2015-09-25
ADBE	San Jose	CA	United States	Adobe Systems Incorporated	"Narayen, Shantanu"	2015-09-16
ADP	Roseland	NJ	United States	"Automatic Data Processing, Inc."	"Rodriguez, Carlos"	1900-01-00
AFL	Columbus	GA	United States	Aflac Incorporated	"Amos, Daniel"	2015-10-27
AGFS	New York	NY	United States	"AgroFresh Solutions, Inc."	"Trevor, Stephen"	2015-08-14
AHS	San Diego	CA	United States	AMN Healthcare Services Inc.	"Salka, Susan"	1900-01-00
AINV	New York	NY	United States	Apollo Investment Corporation	"Zelter, James"	2015-08-06
AIRM	Englewood	CO	United States	Air Methods Corp.	"Todd, Aaron"	2015-08-06
ALGN	San Jose	CA	United States	Align Technology Inc.	"Hogan, Joseph"	2015-10-23
ALNY	Cambridge	MA	United States	"Alnylam Pharmaceuticals, Inc."	"Maraganore, John"	2015-08-06
ALV	Stockholm	0	Sweden	"Autoliv, Inc."	"Carlson, Jan"	2015-10-23
AMBA	Santa Clara	CA	United States	"Ambarella, Inc."	"Wang, Feng-Ming"	2015-09-03
AMCX	New York	NY	United States	AMC Networks Inc.	"Sapan, Joshua"	2015-08-06
AMRC	Framingham	MA	United States	"Ameresco, Inc."	"Sakellaris, George"	2015-11-06
AMT	Boston	MA	United States	American Tower Corporation	"Taiclet, James"	2015-10-30
AMTD	Omaha	NE	United States	TD Ameritrade Holding Corporation	"Tomczyk, Fredric"	2015-08-11
AMZN	Seattle	WA	United States	Amazon.com Inc.	"Bezos, Jeffrey"	2015-10-23
ANET	Santa Clara	CA	United States	"Arista Networks, Inc."	"Ullal, Jayshree"	2015-08-06
ANTM	Indianapolis	IN	United States	"Anthem, Inc."	"Swedish, Joseph"	2015-10-28
AP	Pittsburgh	PA	United States	Ampco-Pittsburgh Corp.	"Stanik, John"	2015-10-30
APEI	Charles Town	WV	United States	"American Public Education, Inc."	"Boston, Wallace"	2015-08-10
APOG	Minneapolis	MN	United States	"Apogee Enterprises, Inc."	"Puishys, Joseph"	2015-09-16
ARLP	Tulsa	OK	United States	Alliance Resource Partners LP	"Craft, Joseph"	2015-10-26
ASR	Englewood	CO	United States	Alacer Gold Corp.	"Antal, Rodney"	2015-10-27
ATHN	Watertown	MA	United States	"athenahealth, Inc."	"Bush, Jonathan"	2015-10-16
ATVI	Santa Monica	CA	United States	"Activision Blizzard, Inc."	"Kotick, Robert"	1900-01-00
ATW	Houston	TX	United States	"Atwood Oceanics, Inc."	"Saltiel, Robert"	2015-11-10
AVAV	Monrovia	CA	United States	"AeroVironment, Inc."	"Conver, Timothy"	2015-08-31
AWAY	Austin	TX	United States	"HomeAway, Inc."	"Sharples, Brian"	1900-01-00
