											sum
AAPL	0.02012	0.0158	0.00773	0.00653	0.00167	0.00075	0.00039	0.00027	0.00026	0.00025	0.05377
ACN	0.0361	0.02833	0.02644	0.02218	0.01699	0.01681	0.01619	0.01283	0.01257	0.01214	0.20058
ADBE	0.14198	0.0555	0.05547	0.01536	0.01526	0.01425	0.01031	0.01007	0.00967	0.00844	0.33631
ADP	0.0274	0.02319	0.01581	0.01302	0.0099	0.00902	0.0089	0.00876	0.00866	0.00845	0.13311
AFL	0.49454	0.39719	0.1563	0.06747	0.04537	0.01726	0.01315	0.01241	0.01122	0.00919	1.2241
AGFS	0.06667	0.06667	0.06667	0	0	0	0	0	0	0	0.20001
AHS	0.86215	0.14982	0.13786	0.12364	0.1201	0.11012	0.10784	0.07712	0.05818	0.02206	1.76889
AINV	0.10256	0.0507	0.01901	0.0169	0.01267	0.00844	0.00729	0.00634	0.00634	0.00054	0.23079
AIRM	6.95979	0.40104	0.2166	0.19236	0.18821	0.17987	0.17302	0.16126	0.08832	0.07729	8.63776
ALGN	3.62057	2.94659	0.80453	0.28847	0.17483	0.17319	0.15624	0.12488	0.08799	0.05108	8.42837
ALNY	0.36899	0.31667	0.14896	0.03083	0.01055	0.00415	0.00238	0.00237	0.00119	0.00012	0.88621
ALV	0.08843	0.02013	0.00943	0.00806	0.00739	0.0048	0.00426	0.00382	0.00355	0.00344	0.15331
AMBA	2.53518	0.30701	0.14801	0.11456	0.09713	0.07376	0.02557	0.02427	0.01551	0.01551	3.35651
AMCX	4.56795	2.80034	2.59464	2.48121	1.61885	1.45244	1.413	0.17472	0.04907	0.02891	17.18113
AMRC	47.24748	3.51939	3.43954	2.36226	1.07486	0.52957	0.43901	0.21497	0.15589	0.10542	59.08839
AMT	0.04016	0.02263	0.02181	0.0181	0.01052	0.00891	0.00533	0.00498	0.00428	0.00279	0.13951
AMTD	8.17933	0.2182	0.16757	0.08246	0.06652	0.06109	0.05289	0.04099	0.03106	0.02745	8.92756
AMZN	17.94298	0.02334	0.01872	0.01369	0.01326	0.01224	0.01223	0.00835	0.00702	0.0068	18.05863
ANET	19.03427	12.93788	10.18681	2.87114	0.65075	0.19224	0.11023	0.07516	0.00073	0	46.05921
ANTM	0.0343	0.02667	0.01898	0.01511	0.01369	0.01365	0.01031	0.00889	0.00826	0.00668	0.15654
AP	0.54341	0.1151	0.09308	0.09052	0.0787	0.07397	0.0739	0.0739	0.0739	0.06561	1.28209
APEI	2.32916	0.40958	0.28959	0.23204	0.21189	0.20751	0.11318	0.10223	0.08612	0.08121	4.06251
APOG	0.82934	0.67198	0.40131	0.12541	0.10263	0.09545	0.08949	0.08272	0.08143	0.07448	2.55424
ARLP	0.96632	0.10881	0.10752	0.06266	0.04914	0.04793	0.0469	0.0426	0.02489	0.01281	1.46958
ASR	0.17826	0.12005	0.05418	0.03677	0.03623	0.02218	0.01838	0.00591	0.00218	0.00218	0.47632
ATHN	1.16783	0.10591	0.08623	0.0605	0.05797	0.05119	0.02219	0.02032	0.01825	0.01714	1.60753
ATVI	0.62701	0.19818	0.04792	0.03737	0.03573	0.03559	0.02397	0.01587	0.01463	0.01427	1.05054
ATW	0.26198	0.09527	0.08348	0.06755	0.05311	0.05267	0.03523	0.03315	0.02989	0.02934	0.74167
AVAV	10.01042	1.33295	0.18253	0.18199	0.17111	0.11771	0.08812	0.08585	0.08527	0.07938	12.33533
AWAY	0.21961	0.14894	0.14503	0.12885	0.0983	0.09672	0.06948	0.04977	0.04948	0.01595	1.02213
AXP	0.09372	0.023	0.01835	0.0113	0.00738	0.007	0.00607	0.00469	0.0041	0.004	0.17961
AZZ	1.95834	0.21998	0.19227	0.18531	0.16895	0.15583	0.12646	0.11054	0.05885	0.0291	3.20563
BABY	1.58673	0.4276	0.40019	0.31402	0.26852	0.22853	0.18779	0.15441	0.04092	0	3.60871
BAC	0.0182	0.00865	0.0074	0.00457	0.00457	0.00452	0.00413	0.00412	0.0041	0.00347	0.06373
BAMXF	15.95552	15.40533	11.554	0	0	0	0	0	0	0	42.91485
BAX	0.09753	0.0149	0.00915	0.00876	0.00855	0.00781	0.0077	0.00716	0.00599	0.00529	0.17284
BBBY	1.30243	1.04654	0.32039	0.08528	0.07351	0.06888	0.01574	0.01544	0.0141	0.00965	2.95196
BBEP	0.52553	0.16741	0.14803	0.1422	0.12027	0.04757	0.03967	0.03607	0.03462	0.02908	1.29045
BCPC	0.47023	0.23542	0.17369	0.1417	0.11181	0.10604	0.10076	0.09517	0.05762	0.05514	1.54758
BID	0.29218	0.25508	0.2283	0.06481	0.04971	0.04317	0.04131	0.04057	0.03598	0.02955	1.08066
BIDU	20.47288	0	0	0	0	0	0	0	0	0	20.47288
BIG	0.25257	0.19981	0.16925	0.07219	0.04934	0.04686	0.04568	0.03801	0.03081	0.02619	0.93071
BIP	0.01861	0.00825	0.00805	0.00585	0.00331	0.00181	0.00122	0.00071	0	0	0.04781
BJRI	5.26623	0.2141	0.13342	0.11275	0.11035	0.10871	0.09927	0.06229	0.05796	0.03154	6.19662
BKE	33.37989	6.06347	0.56689	0.32153	0.2566	0.20472	0.15815	0.13136	0.07569	0.07409	41.23239
BKS	14.15641	4.54887	0.76041	0.3061	0.24023	0.11198	0.07203	0.07088	0.06067	0.05295	20.38053
BLKB	0.22446	0.12783	0.11402	0.11169	0.1045	0.05323	0.05298	0.04802	0.03698	0.03018	0.90389
BLUE	0.71211	0.24981	0.05229	0.01485	0.0033	0.00156	0.00028	0	0	0	1.0342
BLX	0.24256	0.14333	0.10876	0.07731	0.05749	0.04231	0.02828	0.0077	0.0059	0.00068	0.71432
BMRN	0.16154	0.08025	0.04543	0.04217	0.02221	0.02043	0.01761	0.01637	0.01575	0.01403	0.43579
BNED	0	0	0	0	0	0	0	0	0	0	0
BNS	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	0
BOBE	0.23542	0.16694	0.14588	0.10072	0.06975	0.06002	0.0585	0.04804	0.04072	0.03401	0.96
BOBE  151218P00055000	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	0
BOFI	3.03616	2.71615	1.42276	0.69893	0.35115	0.19118	0.14919	0.0758	0.05231	0.04862	8.74225
BOOM	1.77284	1.14306	0.70457	0.69266	0.22875	0.18527	0.18174	0.1785	0.15147	0.14756	5.38642
BRK.B	18.77451	1.0775	0.2984	0.06931	0.04746	0.01911	0.00608	0.00608	0.0017	0.00043	20.30058
BWA	0.11981	0.05382	0.05286	0.03679	0.02887	0.02867	0.02437	0.01951	0.01942	0.01916	0.40328
BWLD	0.3184	0.15897	0.14087	0.07915	0.07826	0.07772	0.05297	0.04302	0.04198	0.02942	1.02076
CABO	17.35185	0.25193	0.0907	0	0	0	0	0	0	0	17.69448
CAMP	1.25185	0.89008	0.46699	0.29186	0.27648	0.25501	0.15792	0.04611	0.04257	0.01755	3.69642
CASY	0.25244	0.20818	0.07261	0.06071	0.0485	0.04457	0.04286	0.04081	0.03511	0.03134	0.83713
CBOE	0.34041	0.12351	0.09065	0.08571	0.08135	0.07479	0.01832	0.01832	0.01832	0.01832	0.8697
CCU	0	0	0	0	0	0	0	0	0	0	0
CELG	0.15446	0.01827	0.01481	0.01119	0.01081	0.00841	0.00827	0.00701	0.003	0.00277	0.239
CERN	6.56234	4.2102	0.12067	0.0568	0.04905	0.03502	0.03147	0.01801	0.01596	0.0141	11.11362
CGNX	4.62584	0.17741	0.01291	0.00229	0.00034	0	0	0	0	0	4.81879
CHEF	14.81147	10.29539	0.58354	0.56613	0.33041	0.25813	0.19133	0.05812	0.05055	0.04071	27.18578
CHKP	13.80324	11.73038	0	0	0	0	0	0	0	0	25.53362
CHL	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	0
CHRW	0.13502	0.09439	0.0812	0.06078	0.04478	0.0422	0.02566	0.02318	0.0218	0.01691	0.54592
CHUY	1.26975	1.26974	0.07141	0.03138	0.01056	0.00585	0.00366	0.00361	0.00131	0.00131	2.66858
CLB	0.71208	0.38559	0.23318	0.10266	0.09956	0.0486	0.0281	0.01987	0.01501	0.00981	1.65446
CLDX	0.04454	0.03402	0.02499	0.02225	0.02217	0.01879	0.01879	0.01611	0.00863	0.0085	0.21879
CLNE	20.04035	0.71813	0.41642	0.32504	0.25299	0.18117	0.11421	0.07501	0.07252	0.0664	22.26224
CMG	0.63195	0.49694	0.23137	0.09782	0.02231	0.01477	0.01357	0.00963	0.00889	0.00499	1.53224
CMI	0.06457	0.02294	0.02217	0.02129	0.01835	0.01769	0.01575	0.01258	0.01257	0.01253	0.22044
CMP	0.0836	0.08122	0.05815	0.02867	0.01966	0.01577	0.01506	0.00998	0.00774	0.00234	0.32219
CMPR	5.48332	0.6347	0.23418	0.11901	0.10801	0.08799	0.07698	0.07604	0.07402	0.04461	6.93886
CNI	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	(Capability Needed)	0
COH	0.73332	0.03205	0.02996	0.02497	0.00989	0.00963	0.0061	0.00584	0.00524	0.00486	0.86186
COST	0.38616	0.11743	0.05683	0.05673	0.03462	0.02334	0.02064	0.01926	0.017	0.01478	0.74679
CPA	0	0	0	0	0	0	0	0	0	0	0
CPRT	6.99579	1.25569	0.19865	0.17202	0.0645	0.00974	0.00848	0.00449	0.00435	0.00185	8.71556
CRI	0.90383	0.18843	0.13859	0.13814	0.13602	0.09666	0.0853	0.07412	0.05259	0.0509	1.86458
CRM	5.74526	0.31561	0.02847	0.02001	0.01329	0.01102	0.00897	0.00797	0.00548	0.00419	6.16027
CROX	0.91117	0.71699	0.11964	0.10962	0.1056	0.10023	0.08347	0.06394	0.02092	0.01314	2.24472
CRTO	6.21308	3.19903	2.41292	1.06948	0.96569	0	0	0	0	0	13.8602
CRUS	0.1768	0.05578	0.04791	0.03934	0.03577	0.02867	0.02533	0.01725	0.0143	0.01299	0.45414
CSCO	0.03629	0.00899	0.00701	0.00446	0.00358	0.00345	0.00299	0.0026	0.00238	0.00191	0.07366
CSGP	1.01148	0.90628	0.49199	0.38168	0.12772	0.07501	0.07269	0.05062	0.03427	0.01193	3.16367
CSTE	0	0	0	0	0	0	0	0	0	0	0
CSX	0.0745	0.04736	0.03446	0.03335	0.02252	0.01869	0.01735	0.01353	0.01009	0.00983	0.28168
CTAS	17.07555	2.67056	0.15918	0.10712	0.08253	0.06525	0.02894	0.00909	0.00811	0.00698	20.21331
CTRE	2.08411	0.30242	0.24605	0.03854	0.03667	0.0354	0.01993	0	0	0	2.76312
CTRP	1.21131	0.97289	0.82361	0	0	0	0	0	0	0	3.00781
CTSH	0.15637	0.10366	0.06984	0.06105	0.04908	0.01415	0.01245	0.01223	0.00822	0.00733	0.49438
CVS	0.0458	0.01773	0.01129	0.0101	0.0081	0.00731	0.00662	0.00564	0.00549	0.00431	0.12239
CVT	10.346	6.64266	2.63919	1.93277	1.60462	1.59548	0.39867	0.39099	0.0231	0.02157	25.59505
CVX	0.01076	0.00536	0.00525	0.00221	0.00162	0.00157	0.00131	0.00129	0.00125	0.00105	0.03167
CWT	0.13142	0.12633	0.12616	0.11485	0.08854	0.06938	0.06126	0.06013	0.04859	0.04796	0.87462
CY	2.60516	0.33832	0.29699	0.24369	0.09441	0.09074	0.07795	0.0758	0.0523	0.04441	3.91977
D	0.17586	0.05396	0.02628	0.02437	0.02394	0.01227	0.00991	0.00812	0.00697	0.00632	0.348
DAR	0.72166	0.21813	0.1215	0.07941	0.06151	0.0574	0.04045	0.03751	0.0344	0.02434	1.39631
DASTY	6.17201	1.09125	0.03241	0.00081	0.00046	0.00024	0.0002	0.00012	0.00008	0	7.29758
DDD	2.15293	1.45735	0.39045	0.36297	0.18247	0.17442	0.11155	0.06967	0.05367	0.04472	5.0002
DECK	0.49173	0.30272	0.16279	0.15161	0.13934	0.12598	0.07913	0.0523	0.03542	0.03541	1.57643
DEO	0.13315	0.02768	0.0106	0.0073	0.00689	0.00676	0.00653	0.00421	0.00374	0.00317	0.21003
DGI	0.30887	0.21572	0.09025	0.08619	0.08502	0.08474	0.05738	0.04337	0.03787	0.03567	1.04508
DIS	7.67238	0.06818	0.015	0.00863	0.00683	0.00627	0.00189	0.00181	0.00176	0.00172	7.78447
DISCK	3.1348	0.31364	0.12104	0.10307	0.03786	0.02217	0.00861	0.00455	0.00416	0.00355	3.75345
DLB	36.62002	0.08534	0.05686	0.04815	0.03736	0.03409	0.03291	0.02983	0.02657	0.01986	36.99099
